05-05-2024 18:00:04.023,-,SERIAL,"COM14 - 9600/8/N/1/N"
05-05-2024 18:06:19.903,11006,RECV,BC304430443436393130303030464438340D
05-05-2024 18:06:20.217,11007,RECV,BC304430443436463230303030464437360D
05-05-2024 18:06:20.529,11008,RECV,BC304430443436433130303030464437410D
05-05-2024 18:06:20.841,11009,RECV,BC304430443436433230303030464437390D
05-05-2024 18:06:21.151,11010,RECV,BC3044304434363432453030323031464431300D
05-05-2024 18:06:21.463,11011,RECV,BC3044304434363434453030323031464430450D
05-05-2024 18:06:21.772,11012,RECV,BC304430443436393130303030464438340D
05-05-2024 18:06:22.084,11013,RECV,BC304430443436463230303030464437360D
05-05-2024 18:06:22.393,11014,RECV,BC304430443436433130303030464437410D
05-05-2024 18:06:24.725,11015,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:24.895,11016,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:25.065,11017,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:25.225,11018,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:25.449,11019,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:29.739,11020,RECV,BC304530453436433230303030464437370D
05-05-2024 18:06:30.049,11021,RECV,BC304530453436343245303032303146
05-05-2024 18:06:30.111,11022,RECV,4430450D
05-05-2024 18:06:30.365,11023,RECV,BC3045304534363434453030323031464430430D
05-05-2024 18:06:30.675,11024,RECV,BC304530453436393130303030464438
05-05-2024 18:06:30.733,11025,RECV,320D
05-05-2024 18:06:30.984,11026,RECV,BC304530453436463230303030464437340D
05-05-2024 18:06:31.295,11027,RECV,BC304530453436433130303030464437380D
05-05-2024 18:06:31.604,11028,RECV,BC304530453436433230303030
05-05-2024 18:06:31.667,11029,RECV,464437370D
05-05-2024 18:06:31.918,11030,RECV,BC3045304534363432453030323031464430450D
05-05-2024 18:06:32.230,11031,RECV,BC3045304534363434453030323031464430430D
05-05-2024 18:06:32.544,11032,RECV,BC304530453436393130303030464438320D
05-05-2024 18:06:32.859,11033,RECV,BC304530453436463230303030464437340D
05-05-2024 18:06:33.166,11034,RECV,BC304530453436433130303030464437380D
05-05-2024 18:06:33.478,11035,RECV,BC30453045343643323030303046
05-05-2024 18:06:33.539,11036,RECV,4437370D
05-05-2024 18:06:40.110,11037,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:42.069,11038,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:42.234,11039,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:42.463,11040,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:46.283,11041,RECV,BC3046304634363432453030323031464430430D
05-05-2024 18:06:46.595,11042,RECV,BC3046304634363434453030323031464430410D
05-05-2024 18:06:46.907,11043,RECV,BC304630463436393130303030464438300D
05-05-2024 18:06:47.219,11044,RECV,BC304630463436463230303030464437320D
05-05-2024 18:06:47.531,11045,RECV,BC304630463436433130303030464437360D
05-05-2024 18:06:47.843,11046,RECV,BC304630463436433230303030464437350D
05-05-2024 18:06:48.156,11047,RECV,BC3046304634363432453030323031464430430D
05-05-2024 18:06:48.466,11048,RECV,BC3046304634363434453030323031464430410D
05-05-2024 18:06:48.777,11049,RECV,BC304630463436393130303030464438300D
05-05-2024 18:06:49.091,11050,RECV,BC304630463436463230303030464437320D
05-05-2024 18:06:49.400,11051,RECV,BC304630463436433130303030464437360D
05-05-2024 18:06:52.669,11052,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:52.834,11053,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:53.062,11054,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:06:57.298,11055,RECV,BC313031303436433230303030464439460D
05-05-2024 18:06:57.610,11056,RECV,BC3130313034363432453030323031464433360D
05-05-2024 18:06:57.917,11057,RECV,BC3130313034363434453030323031464433340D
05-05-2024 18:06:58.228,11058,RECV,BC313031303436393130303030464441410D
05-05-2024 18:06:58.539,11059,RECV,BC313031303436463230303030464439430D
05-05-2024 18:06:58.850,11060,RECV,BC313031303436433130303030464441300D
05-05-2024 18:06:59.157,11061,RECV,BC313031303436433230303030464439460D
05-05-2024 18:06:59.469,11062,RECV,BC3130313034363432453030323031464433360D
05-05-2024 18:06:59.776,11063,RECV,BC3130313034363434453030323031464433340D
05-05-2024 18:07:06.845,11064,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:07:07.001,11065,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:07:07.180,11066,SENT,3030303030303030303030303030303030303030303030
05-05-2024 18:07:07.381,11067,SENT,3030303030303030303030303030303030303030303030
